,abstract/snippet,lead_paragraph,headline,keywords,pub_date,document_type,section_name,type_of_material
0,"With his signature campaign promise fulfilled, the prime minister can now reshape Britain for a generation.",LONDON — The moment has arrived. Britain is out of the European Union. Prime Minister Boris Johnson and his “People’s Government” — it scarcely calls itself Conservative at this point — has fulfilled the promise on which it was elected in December and “got Brexit done.”,Brexit Has Arrived. But Boris Johnson’s Reign Is Just Beginning.,"Great Britain Withdrawal from EU (Brexit);Politics and Government;Immigration and Emigration;Johnson, Boris;Great Britain",2020-02-01,article,Opinion,Op-Ed
0,"A panel appointed by the governor acknowledged that its recommendations could not fully address what the Justice Department has called “severe, systemic” conditions.","WASHINGTON — After months of promising to fix Alabama’s dangerously violent prison system, a panel appointed by the governor issued recommendations this week that would do little to address the underlying problems identified last year in a scathing Justice Department report, which documented prisoners being routinely assaulted and tortured, sometimes with the knowledge and even participation of prison guards.",Plans for Alabama’s Deadly Prisons ‘Won’t Fix the Horrors’,ALABAMA;Prisons and Prisoners;Prison Guards and Corrections Officers;Eighth Amendment (US Constitution);Justice Department;Politics and Government,2020-02-01,article,U.S.,News
0,"In a podcast interview on Friday, Mrs. Clinton also described the caucuses in Iowa, where Mr. Sanders leads in some polls, as “undemocratic.”","DES MOINES — Hillary Clinton said on Friday in a podcast interview that Senator Bernie Sanders and his supporters did not do enough to unify the Democratic Party after the prolonged 2016 primary, calling the behavior of his supporters “distressing” and saying it affected the general election.",Hillary Clinton Slams Bernie Sanders for Not Working to Unite Democrats in 2016,"Presidential Election of 2020;Sanders, Bernard;Clinton, Hillary Rodham;Presidential Election of 2016",2020-02-01,article,U.S.,News
0,Senators will vote on procedural motions in President Trump’s impeachment trial.,Senators will vote on procedural motions in President Trump’s impeachment trial.,Full Video: Senators Debate Impeachment Trial Amendments,"Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry;Impeachment;Senate;Trump, Donald J",2020-02-01,multimedia,U.S.,Video
0,"As he discussed the possibility of a White House meeting for Ukraine’s president, President Trump’s lawyer asked to save the Kyiv mayor’s job.","KYIV, Ukraine — When Rudolph W. Giuliani met with a top aide to Ukraine’s president last summer, he discussed the prospect of a coveted White House meeting for the president while seeking Ukraine’s commitment to certain investigations that could benefit President Trump politically.",Giuliani Sought Help for Client in Meeting With Ukrainian Official,"Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry;Russian Interference in 2016 US Elections and Ties to Trump Associates;United States International Relations;Corruption (Institutional);Foreign Aid;Impeachment;United States Defense and Military Forces;Giuliani, Rudolph W;Poroshenko, Petro Olekseyevich;Trump, Donald J;Zelensky, Volodymyr;Ukraine;Kiev (Ukraine);United States",2020-02-01,article,World,News
0,"Britain exits Europe. It will be poorer, above all in its shriveled heart.","I have covered many stories that marked me over the past 40 years, in war zones and outside them, but none that has affected me as personally as Britain’s exit from the European Union. Brexit Day, now upon us, feels like the end of hope, a moral collapse, a self-amputation that will make the country where I grew up poorer in every sense.",Requiem for a Dream,Great Britain;Great Britain Withdrawal from EU (Brexit);European Union;European Parliament;Europe;Politics and Government,2020-02-01,article,Opinion,Op-Ed
0,"Christopher Paul Hasson, a self-described white nationalist, plotted to kill journalists, Democratic politicians, Supreme Court justices and those he described as “leftists in general,” prosecutors said.",A former Coast Guard lieutenant who described himself as a white nationalist was sentenced Friday to more than 13 years in prison after pleading guilty last year to federal gun and drug charges.,Former Coast Guard Officer Accused of Plotting Terrorism Is Sentenced to 13 Years,"Murders, Attempted Murders and Homicides;Firearms;Terrorism;Hasson, Christopher Paul;Drug Abuse and Traffic;United States Coast Guard",2020-02-01,article,U.S.,News
0,"Several Senate Republicans said that even if President Trump did everything impeachment managers said, he should not be removed.","The Senate voted on Friday nearly along party lines to block additional witnesses and evidence in President Trump’s impeachment trial, effectively accelerating the proceedings toward a final vote, which is expected to be held Wednesday.","Despite Evidence, Republicans Rallied Behind Trump. This Was Their Reasoning.","Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry;United States Politics and Government;Presidential Election of 2020;Republican Party;Senate;House of Representatives;ALEXANDER, LAMAR;Murkowski, Lisa;Portman, Rob;Rubio, Marco;Sasse, Benjamin E;Trump, Donald J",2020-02-01,article,U.S.,News
0,Readers react as the Republicans vote to block witnesses in President Trump’s impeachment trial.,To the Editor:,The Impeachment Trial Nears a Finale,"Trump, Donald J;ALEXANDER, LAMAR;Impeachment;United States Politics and Government;Republican Party;Senate",2020-02-01,article,Opinion,Letter
0,"On a July 25 telephone call with the president of Ukraine, President Trump described Ambassador Yovanovitch as “bad news” and said, ominously, “She’s going to go through some things.”","WASHINGTON — The American ambassador whose abrupt recall from Ukraine helped lead to President Trump’s impeachment has retired from the State Department, a person familiar with her plans confirmed on Friday.",Diplomat at Center of Trump Impeachment Retires From State Department,"Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry;Diplomatic Service, Embassies and Consulates;Foreign Service (US);Yovanovitch, Marie L;Trump, Donald J;Pompeo, Mike;Biden, Joseph R Jr;Giuliani, Rudolph W;Ukraine",2020-02-01,article,U.S.,News
0,"The narrow vote came after Republican senators said they did not need to hear more evidence, and pressed toward acquitting President Trump next week.","WASHINGTON — The Senate brought President Trump to the brink of acquittal on Friday of charges that he abused his power and obstructed Congress, as Republicans voted to block consideration of new witnesses and documents in his impeachment trial and shut down a final push by Democrats to bolster their case for the president’s removal.","Republicans Block Impeachment Witnesses, Clearing Path for Trump Acquittal","Trump, Donald J;Impeachment;Senate;Democratic Party;Republican Party;House of Representatives;Presidential Election of 2020;Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry;United States Politics and Government",2020-02-01,article,U.S.,News
0,"In pressing toward their preordained vote of acquittal, Senate Republicans made it clear they see their fortunes and futures intertwined with the president’s.",WASHINGTON — President Trump’s control of Senate Republicans is nearly complete.,"Once Skeptical, Senate Republicans Are All In on Trump","Trump, Donald J;Impeachment;Senate;Republican Party;Presidential Election of 2020;United States Politics and Government",2020-02-01,article,U.S.,News
0,The Sanders online army resembles President Trump’s most ardent supporters in more ways than either side might care to admit.,Barbara Boxer minces no words when it comes to describing the people usually known as the Bernie Bros — a subset of Bernie Sanders supporters who hope to take over the Democratic Party and remake it in their image.,Bernie’s Angry Bros,"Sanders, Bernard;Democratic Party;Presidential Election of 2020;Twitter;Social Media;United States Politics and Government",2020-02-01,article,Opinion,Op-Ed
0,Many viewers don’t care about the game but watch for the commercials. Not these.,"Attention, if you or a loved one received a diagnosis of chronic traumatic encephalopathy, or C.T.E., you may be entitled to financial compensation. C.T.E. is caused by repeated head injuries and linked to playing professional football. Please, don’t wait. Call 1-555-STOP-NFL for a free legal consultation and a claims packet.",The Super Bowl Ads You Won’t See This Year,Surveillance of Citizens by Government;Chronic Traumatic Encephalopathy;Super Bowl;Football,2020-02-01,article,Opinion,Op-Ed
0,"Britain has formally left the European Union, but difficult trade talks remain before the two are severed.","Finally, after 1,317 days of confusion, rancor and endless votes in Parliament, it was time for Brexit. On Wednesday, teary members of the European Parliament joined hands and sang “Auld Lang Syne,” a clock projected onto 10 Downing Street counted down the minutes, Union Jacks lined the Mall before Buckingham Palace.",Brexit Is Here! Sort Of,"Great Britain Withdrawal from EU (Brexit);European Union;Scottish National Party;Johnson, Boris;Great Britain;Europe",2020-02-01,article,Opinion,Editorial
